0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
25029,28217,29936,31827,29830,19334,32963,24477,23860,24471,26530,18399,28130,15593,23260,23933,31843,17481,27234,21592,28070,30795,22727,22726,18861,18889,17010,17943,29954,25133,28904,27342,30962,20954,34044,28937,29970,25075,30816,30969,26630,25110,19924,27427,25838,23849,25060,30810,24436,32856,28156
25030,23874,22188,24479,26530,24477,23860,23260,28089,25838,30795,21602,24488,26479,25824,28937,22217,31825,25785,25029,29830,22780,22728,30769,27234,24449,31843,29936,27331,29942,24450,31827,26641,29044,30926,17943,21604,27427,26505,22189,32856,32887,28217,19334,26513,21579,25146,18889,24491,24461,25038
25031,23961,25033,25824,25753,25845,25086,25850,24480,25763,23874,25035,25765,25865,25879,25844,25785,25822,25838,25811,25748,25853,25788,25814,23895,22188,12540,23838,19845,25990,27258,25238,26479,24450,22191,22189,24518,25039,23884,25029,24487,24465,25742,22795,23847,25779,23904,25761,25843,24488,23903
25032,25074,26564,23858,27353,25192,25195,25217,24466,25173,25184,24418,25811,25083,23879,24475,23868,25180,25055,25242,25864,24483,23251,24492,27316,25974,24423,25164,24429,23874,22189,22761,25763,24430,25108,25059,23895,24465,24421,26527,25199,25033,25039,24472,26460,25067,25128,24484,25200,22191,23838
25033,22862,25031,25035,23874,25824,24450,25242,25086,22188,23895,25164,25850,25814,25811,25845,25763,25785,22189,25753,22191,24487,25765,25779,23838,25838,25039,27445,26479,25748,24518,26527,25844,25140,24480,23316,25030,27258,25865,25864,25163,25853,24465,25918,25990,23903,23320,26554,22728,12540,23847
25034,25044,25060,25075,20954,26561,24435,26468,23270,20362,18861,25822,18436,22726,23849,20376,26568,32896,19844,23905,22200,27471,29034,25078,25768,25837,20372,27342,21592,29900,22727,27383,19849,28904,30810,25110,30816,22234,15103,22211,28130,27412,25785,16523,29954,23279,29055,26646,26505,20414,20961
25035,25811,25039,23895,25242,25086,23838,25850,22191,25879,25763,25033,25824,25200,22189,25990,25785,25045,24475,23874,24480,26527,6621,25865,24472,27445,25031,25822,25853,25762,25838,25184,23847,28096,25765,19845,25784,24465,24415,24488,24464,21594,25918,25149,25067,23320,23856,25871,24487,12540,23260
25036,25218,25213,25080,25243,26532,25208,24571,24606,25285,25130,25203,24572,25085,24485,23928,23848,24476,26474,24655,23981,20952,25769,24567,25813,24521,24619,25849,25055,25889,8465,24450,25140,8732,24540,25912,25202,23356,24390,24470,25030,23982,24550,23897,25076,25066,24428,2498,24427,24618,25155
25037,25807,25765,23852,25181,25748,25844,24402,25048,25899,23899,24559,25742,25051,25869,25111,24487,25911,25803,25761,25856,23840,25734,25241,25824,24490,22210,24448,25738,25840,25093,25830,23285,25102,25090,26452,25910,25845,25846,25788,25785,25893,25814,26569,25779,23835,25796,25831,25174,25832,25865
25038,26642,25146,25785,24491,21579,24488,25822,23860,23849,24464,28213,24449,26530,25133,25838,22726,24479,18872,9634,22208,25224,21592,23260,20954,24477,18861,23874,24455,20372,28937,25143,22234,26505,19845,23847,24461,23835,22211,26499,29954,30936,25136,22190,25185,26528,18889,30795,27425,25110,19334
25039,23838,23895,22191,25242,23856,22189,23847,24472,24464,25143,23874,25990,25133,23849,24488,25067,24465,25086,24491,24438,23877,21594,23320,25049,22190,25763,23298,25224,25035,26659,20983,19845,23260,24480,25811,23300,23860,22728,21579,28096,18886,25062,26554,24477,24421,19337,21593,22211,18871,25200
25040,25828,23884,22787,23953,24482,23854,25779,21619,25988,23323,22817,21018,21067,25788,25737,20398,25847,22216,29836,25761,25831,22757,27411,17494,28089,28935,23282,26738,25735,17971,26566,22251,18884,27360,19360,25047,26539,25842,25031,31919,21618,27363,22780,18869,25874,29960,25104,25838,26538,23863
25041,20952,22219,26618,17478,21608,28880,19861,29840,26525,31840,31920,28104,24562,30803,12048,24446,22758,3614,15601,27324,25203,23360,19864,30945,25076,21085,20443,13644,8737,23928,24627,27442,25841,40065,9310,3383,6912,8166,5486,26482,6320,28913,5763,29038,30815,10768,21607,25030,25798,3156
25042,25079,25064,25053,25949,24438,25749,24424,25069,22774,25172,25775,25073,23857,24429,25045,23893,27273,25763,25044,23856,24408,23881,25784,25199,24463,25086,25049,13074,23877,25034,10761,23878,24386,25990,25060,24414,26468,25141,25071,23890,25128,16529,25977,23894,25848,25134,18400,25917,25811,23834
