movieId,nameEnglish,time,info_addr,grade,type,picture
409,Next Friday,2000,tt0195945,6.1,Comedy,https://m.media-amazon.com/images/M/MV5BZTg4NTkzMDEtM2MzOS00MDE1LWJmYWItYzdiMGRiNTdmZmFkXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg
422,Supernova,2000,tt0134983,4.9,"Horror, Sci-Fi, Thriller",https://m.media-amazon.com/images/M/MV5BMTgwMjI4OTU4MF5BMl5BanBnXkFtZTcwOTk3MTE3NA@@._V1_SX300.jpg
457,Down to You,2000,tt0186975,5.0,"Comedy, Drama, Romance",https://m.media-amazon.com/images/M/MV5BMTI3NDIxMTIwMF5BMl5BanBnXkFtZTcwNTQ3MTIyMQ@@._V1_SX300.jpg
505,Scream 3,2000,tt0134084,5.5,"Horror, Mystery",https://m.media-amazon.com/images/M/MV5BMDljNmI1YzctNjJlZC00NzZlLWFlZTgtMDE4MjJiMDk0ZGY4XkEyXkFqcGdeQXVyMjg3MDQ0Mjk@._V1_SX300.jpg
508,Gun Shy,2000,tt0171356,5.7,"Comedy, Crime, Romance",https://m.media-amazon.com/images/M/MV5BMTc1MDYzMjI0Nl5BMl5BanBnXkFtZTcwODU3MjMyMQ@@._V1_SX300.jpg
518,Snow Day,2000,tt0184907,5.1,"Adventure, Comedy, Family",https://m.media-amazon.com/images/M/MV5BOTE3M2Y4YjQtNDQzMS00NWYzLTkyODUtNGFkZmY0MTk4NjE3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
530,Boiler Room,2000,tt0181984,7.0,"Crime, Drama, Thriller",https://m.media-amazon.com/images/M/MV5BYWQ2NDY3NjQtMTY3NS00M2VhLThlOTQtOGE4NzczY2RlYzg3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
531,Hanging Up,2000,tt0162983,4.9,"Comedy, Drama",https://m.media-amazon.com/images/M/MV5BNzJjYjgwZjMtYThhZi00NzNlLWI0Y2YtZjkxYWNlYWI2ZDJkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
532,Pitch Black,2000,tt0134847,7.1,"Horror, Sci-Fi",https://m.media-amazon.com/images/M/MV5BNTNmYzE1OWYtZDdjNC00OTdhLTg1YjUtYWJlZTVkMzkzNmVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
535,Black Tar Heroin: The Dark End of the Street,2000,tt0221023,8.0,"Documentary, Biography",https://m.media-amazon.com/images/M/MV5BY2RkZDA3OTgtYzMxNy00YTYwLTkwMmEtMGE2MzcxZGQ1ZmQ2XkEyXkFqcGdeQXVyMjkxODI3MTY@._V1_SX300.jpg
548,Reindeer Games,2000,tt0184858,5.8,"Action, Adventure, Crime, Drama, Thriller",https://m.media-amazon.com/images/M/MV5BZjNmNWIwZTAtMjM1MS00ODNiLTljYzMtNGI1ZmRkMmIxYzJiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
549,Wonder Boys,2000,tt0185014,7.3,"Comedy, Drama",https://m.media-amazon.com/images/M/MV5BZGFlZDI5OGMtMmVhMS00NTQxLTgzZmEtZDJlMGVjNWViZThmXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg
555,Chain of Fools,2000,tt0194368,6.1,"Comedy, Crime",https://m.media-amazon.com/images/M/MV5BZTVlYzhjMmMtZmZhNi00MzE3LWE0ZDEtNmRiOGQ4N2M4YmJlXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg
556,Drowning Mona,2000,tt0186045,5.7,"Comedy, Crime, Mystery",https://m.media-amazon.com/images/M/MV5BYWNhYWUxMzAtNmJmYS00Yjg5LWIyYWUtY2IxMDRjZmZhOTZjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
558,What Planet Are You From?,2000,tt0181151,5.6,"Comedy, Sci-Fi",https://m.media-amazon.com/images/M/MV5BMTM4ODgzNDU2OF5BMl5BanBnXkFtZTYwMjI1Njc2._V1_SX300.jpg
586,Mission to Mars,2000,tt0183523,5.7,"Adventure, Sci-Fi, Thriller",https://m.media-amazon.com/images/M/MV5BMzhiNjVhZjUtMWYwMy00M2U5LWE5NWEtNGU4N2E5NTI3MzFlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
